iter	Passed	Remaining
0	117	117376
1	119	59526
2	120	40185
3	122	30463
4	124	24684
5	125	20775
6	127	18016
7	128	15984
8	130	14350
9	131	13052
10	133	12019
11	135	11129
12	136	10365
13	138	9723
14	139	9170
15	141	8676
16	142	8233
17	143	7849
18	145	7507
19	147	7226
20	149	6957
21	150	6699
22	152	6461
23	153	6241
24	154	6033
25	155	5843
26	157	5668
27	158	5502
28	159	5354
29	161	5224
30	163	5097
31	164	4986
32	166	4875
33	167	4771
34	169	4677
35	171	4580
36	172	4486
37	174	4405
38	175	4332
39	177	4259
40	178	4184
41	180	4113
42	181	4046
43	183	3983
44	184	3921
45	186	3859
46	187	3802
47	189	3752
48	190	3703
49	192	3651
50	193	3602
51	194	3553
52	196	3508
53	197	3466
54	199	3426
55	200	3384
56	202	3350
57	204	3320
58	206	3287
59	207	3253
60	208	3217
61	210	3185
62	211	3152
63	213	3122
64	214	3092
65	216	3069
66	219	3049
67	220	3026
68	222	3002
69	223	2975
70	225	2949
71	227	2926
72	228	2900
73	229	2875
74	231	2853
75	233	2834
76	234	2813
77	236	2792
78	237	2772
79	239	2754
80	241	2734
81	242	2715
82	243	2687
83	244	2667
84	246	2649
85	248	2636
86	249	2622
87	251	2604
88	252	2586
89	253	2566
90	255	2549
91	256	2532
92	257	2515
93	259	2498
94	260	2481
95	261	2465
96	263	2451
97	264	2437
98	266	2424
99	267	2410
100	269	2396
101	270	2384
102	272	2370
103	273	2357
104	275	2346
105	276	2335
106	278	2326
107	280	2313
108	281	2300
109	282	2287
110	284	2275
111	285	2262
112	286	2251
113	288	2240
114	289	2228
115	290	2216
116	292	2204
117	293	2196
118	295	2185
119	296	2174
120	297	2163
121	298	2151
122	300	2141
123	301	2131
124	302	2120
125	304	2110
126	305	2099
127	306	2089
128	308	2082
129	309	2073
130	311	2064
131	312	2054
132	313	2045
133	315	2036
134	316	2027
135	317	2018
136	319	2009
137	320	2001
138	321	1992
139	323	1986
140	324	1978
141	325	1968
142	327	1960
143	328	1952
144	329	1944
145	331	1936
146	332	1928
147	333	1920
148	334	1912
149	336	1906
150	338	1901
151	339	1896
152	341	1889
153	342	1882
154	344	1875
155	345	1868
156	346	1861
157	347	1854
158	349	1847
159	350	1840
160	351	1832
161	353	1827
162	354	1822
163	356	1816
164	358	1811
165	359	1806
166	360	1800
167	362	1793
168	363	1788
169	365	1784
170	366	1778
171	368	1774
172	370	1769
173	371	1764
174	372	1758
175	374	1752
176	375	1747
177	377	1742
178	378	1736
179	380	1731
180	381	1727
181	383	1722
182	385	1718
183	386	1713
184	387	1707
185	389	1702
186	390	1697
187	391	1692
188	393	1686
189	394	1681
190	395	1675
191	397	1671
192	398	1666
193	399	1661
194	401	1656
195	402	1652
196	404	1647
197	405	1642
198	406	1637
